fin_year,stop_id,stop_name,stop_lat,stop_long,network,pax_annual,pax_weekday,pax_norm_weekday,pax_sch_hol_weekday,pax_saturday,pax_sunday,pax_pre_am_peak,pax_am_peak,pax_interpeak,pax_pm_peak,pax_pm_late,stop_name_clean,stop_name_suffix,is_border_nsw
FY19-20,19878,Croydon,-37.79543697,145.2805978,metro,726050,2450,2550,2100,1200,750,450,1200,450,350,50,Croydon,,False
FY19-20,19879,Ringwood East,-37.81196804,145.2501909,metro,369900,1300,1400,1050,450,300,200,800,200,200,50,Ringwood East,,False
FY19-20,19880,Pakenham,-38.08061397,145.4863791,metro,465800,1500,1650,1050,900,650,350,600,350,250,50,Pakenham,,False
FY19-20,19881,Officer,-38.06614572,145.4109872,metro,132100,500,550,300,100,100,150,250,100,100,50,Officer,,False
FY19-20,19882,Beaconsfield,-38.05083135,145.3660737,metro,234200,850,950,450,200,150,250,400,100,150,50,Beaconsfield,,False
FY19-20,19883,Berwick,-38.04040829,145.3457261,metro,754550,2650,3000,1550,900,600,700,1200,550,500,50,Berwick,,False
FY19-20,19884,Narre Warren,-38.02780932,145.3039694,metro,587550,2000,2150,1350,950,650,500,900,450,250,50,Narre Warren,,False
FY19-20,19885,Hallam,-38.01774038,145.2697768,metro,463500,1600,1750,1100,600,400,400,750,300,250,50,Hallam,,False
FY19-20,19886,Cranbourne,-38.09953731,145.280599,metro,773050,2600,2900,1650,1200,900,750,1200,600,250,50,Cranbourne,,False
FY19-20,19887,Merinda Park,-38.07900048,145.2635114,metro,301600,1050,1200,650,350,250,300,650,200,100,50,Merinda Park,,False
FY19-20,19888,Dandenong,-37.98996792,145.2097254,metro,1819050,6050,6350,5050,3150,2300,450,1550,1650,2250,400,Dandenong,,False
FY19-20,19889,Yarraman,-37.97825454,145.1916003,metro,283350,950,1000,700,450,350,150,450,250,150,50,Yarraman,,False
FY19-20,19890,Noble Park,-37.96723193,145.1769357,metro,868350,2850,3100,2100,1550,1100,350,1150,800,650,150,Noble Park,,False
FY19-20,19891,Sandown Park,-37.95650457,145.1628259,metro,443950,1550,1700,1000,600,450,200,1050,300,150,50,Sandown Park,,False
FY19-20,19892,East Camberwell,-37.82589419,145.0681902,metro,201450,700,800,400,250,150,50,300,150,300,50,East Camberwell,,False
FY19-20,19893,Canterbury,-37.82448518,145.0812242,metro,284700,950,1000,750,450,350,50,500,200,250,50,Canterbury,,False
FY19-20,19894,Chatham,-37.82429952,145.0886479,metro,196950,700,700,550,300,200,50,400,150,100,50,Chatham,,False
FY19-20,19895,Surrey Hills,-37.82414805,145.0987747,metro,568250,1900,2000,1600,950,650,200,1200,300,300,50,Surrey Hills,,False
FY19-20,19896,Mont Albert,-37.81942655,145.1055304,metro,200300,650,700,550,350,250,50,400,150,100,50,Mont Albert,,False
FY19-20,19897,Laburnum,-37.82078023,145.1407027,metro,340950,1150,1200,850,600,400,100,600,250,250,50,Laburnum,,False
FY19-20,19898,Blackburn,-37.82007075,145.1500135,metro,1185100,3950,4150,3250,2050,1500,300,2100,800,800,150,Blackburn,,False
FY19-20,19899,Nunawading,-37.82060317,145.1748917,metro,888900,2950,3050,2550,1500,1150,250,1550,600,550,100,Nunawading,,False
FY19-20,19900,Mitcham,-37.81800987,145.1919735,metro,945050,3250,3400,2750,1450,900,450,1800,550,500,100,Mitcham,,False
FY19-20,19901,Heatherdale,-37.81889537,145.2127872,metro,471200,1650,1750,1400,600,400,300,1000,250,200,50,Heatherdale,,False
FY19-20,19902,Ringwood,-37.81588648,145.2289685,metro,1475200,4650,4750,4200,3300,2350,400,1600,1150,1300,300,Ringwood,,False
FY19-20,19903,Auburn,-37.82239831,145.0458437,metro,584350,1950,2050,1600,1050,750,100,950,400,500,100,Auburn,,False
FY19-20,19904,Glenferrie,-37.82146682,145.0364388,metro,1949900,6850,7450,4900,2450,1650,150,1300,1900,3450,700,Glenferrie,,False
FY19-20,19905,Hawthorn,-37.82182601,145.0228987,metro,553450,1900,2050,1550,750,550,100,800,400,700,50,Hawthorn,,False
FY19-20,19906,Burnley,-37.82756022,145.0075551,metro,633700,2150,2200,1950,1200,650,100,850,350,750,150,Burnley,,False
FY19-20,19907,East Richmond,-37.82639995,144.9970657,metro,506300,1850,1950,1600,450,250,50,300,250,1200,150,East Richmond,,False
FY19-20,19909,Heyington,-37.83467244,145.0226353,metro,163100,600,700,250,150,100,50,200,100,350,50,Heyington,,False
FY19-20,19910,Kooyong,-37.83992894,145.0335516,metro,263150,900,950,850,350,250,50,300,250,300,50,Kooyong,,False
FY19-20,19911,Tooronga,-37.84936553,145.0417337,metro,456150,1600,1650,1450,600,400,100,650,250,600,50,Tooronga,,False
FY19-20,19912,Gardiner,-37.85327908,145.0516547,metro,389800,1300,1300,1200,750,500,100,700,250,250,50,Gardiner,,False
FY19-20,19913,Springvale,-37.94950878,145.1534518,metro,1295050,4000,4300,3100,3000,2150,350,1300,1250,1150,250,Springvale,,False
FY19-20,19914,Westall,-37.93849121,145.1388326,metro,676550,1950,2100,1600,2000,1400,200,800,450,500,100,Westall,,False
FY19-20,19915,Clayton,-37.92468255,145.1205344,metro,1388700,4450,4850,3250,2800,1950,300,1500,1300,1350,400,Clayton,,False
FY19-20,19916,Huntingdale,-37.91101734,145.1023643,metro,1151750,4100,4650,2250,1150,850,250,1400,1000,1700,300,Huntingdale,,False
FY19-20,19917,Oakleigh,-37.90037214,145.0883079,metro,1215300,3950,4400,2600,2300,1600,300,1350,1050,1400,350,Oakleigh,,False
FY19-20,19918,Hughesdale,-37.89488129,145.0776351,metro,501050,1650,1850,1000,850,600,150,850,400,350,100,Hughesdale,,False
FY19-20,19919,Murrumbeena,-37.89019832,145.0673749,metro,625600,2100,2350,1250,1000,700,200,1300,500,300,50,Murrumbeena,,False
FY19-20,19920,Carnegie,-37.88624148,145.0585751,metro,833000,2750,3050,1700,1500,1100,200,1400,700,500,200,Carnegie,,False
FY19-20,19921,Werribee,-37.89937805,144.661118,metro,1061600,3650,3750,3300,1500,1050,750,1700,750,450,50,Werribee,,False
FY19-20,19922,Hoppers Crossing,-37.88327618,144.7009549,metro,1079900,3750,3950,3200,1400,950,700,1850,750,600,100,Hoppers Crossing,,False
FY19-20,19923,Laverton,-37.86369404,144.7726167,metro,944750,3250,3350,2900,1300,950,450,1800,650,400,50,Laverton,,False
FY19-20,19924,Aircraft,-37.86660595,144.7608094,metro,248950,850,850,750,400,300,150,400,150,100,50,Aircraft,,False
FY19-20,19925,Westona,-37.86516348,144.8134936,metro,212000,750,800,550,300,200,100,300,150,200,50,Westona,,False
FY19-20,19926,Altona,-37.8671476,144.8296447,metro,261900,850,850,750,550,400,100,350,200,150,50,Altona,,False
FY19-20,19927,Seaholme,-37.86784231,144.8409577,metro,89300,300,300,250,150,150,50,150,50,50,50,Seaholme,,False
FY19-20,19928,Westgarth,-37.7806207,144.9992332,metro,227000,750,750,600,450,300,50,400,150,100,50,Westgarth,,False
FY19-20,19929,Dennis,-37.77918729,145.0082416,metro,305550,1050,1100,850,500,350,50,700,200,150,50,Dennis,,False
FY19-20,19930,Fairfield,-37.77917126,145.0169053,metro,509000,1650,1700,1450,1000,700,150,900,350,250,100,Fairfield,,False
FY19-20,19931,Alphington,-37.77839363,145.0312549,metro,239400,800,850,650,400,300,50,450,150,150,50,Alphington,,False
FY19-20,19932,Darebin,-37.77496341,145.038476,metro,118850,400,450,300,200,150,50,200,100,100,50,Darebin,,False
FY19-20,19933,Ivanhoe,-37.76889674,145.0454252,metro,604100,2050,2150,1650,1050,700,200,1100,350,450,50,Ivanhoe,,False
FY19-20,19934,Eaglemont,-37.76358553,145.0539427,metro,128000,450,450,350,250,150,50,250,100,50,50,Eaglemont,,False
FY19-20,19935,Heidelberg,-37.75707293,145.0606855,metro,647000,2200,2350,1750,950,750,150,700,500,900,100,Heidelberg,,False
FY19-20,19936,Rosanna,-37.7428786,145.0661403,metro,552500,1850,1950,1600,900,650,300,1100,300,200,50,Rosanna,,False
FY19-20,19937,Moorabbin,-37.93435329,145.0367383,metro,671250,2050,2250,1450,1600,1250,150,800,550,600,150,Moorabbin,,False
FY19-20,19938,Patterson,-37.92514919,145.03547,metro,249700,850,1000,450,350,250,100,500,150,200,50,Patterson,,False
FY19-20,19939,Bentleigh,-37.91742457,145.0369951,metro,515100,1650,1800,1100,1050,700,150,800,450,350,100,Bentleigh,,False
FY19-20,19940,Mckinnon,-37.91030903,145.038299,metro,324500,1100,1200,650,550,400,100,600,250,200,50,Mckinnon,,False
FY19-20,19941,Ormond,-37.90321167,145.0396134,metro,528350,1750,1950,1100,950,650,150,900,450,400,50,Ormond,,False
FY19-20,19942,Glenhuntly,-37.88971946,145.0422229,metro,660200,2150,2350,1400,1300,900,150,1100,550,450,100,Glenhuntly,,False
FY19-20,19943,Caulfield,-37.87745946,145.0425248,metro,2853200,9050,9100,8850,6450,4250,250,2050,2300,3200,1250,Caulfield,,False
FY19-20,19944,Malvern,-37.8662533,145.0292939,metro,586650,1900,2200,950,1100,750,100,850,450,700,150,Malvern,,False
FY19-20,19945,Armadale,-37.85645238,145.0193255,metro,414400,1350,1600,650,750,500,50,700,350,450,50,Armadale,,False
FY19-20,19946,Toorak,-37.85077381,145.0139086,metro,370450,1250,1450,500,650,450,50,650,300,400,50,Toorak,,False
FY19-20,19947,Hawksburn,-37.84459087,145.0021421,metro,369550,1200,1350,600,750,500,100,650,300,300,50,Hawksburn,,False
FY19-20,19948,Sandringham,-37.95033018,145.0045614,metro,813600,2600,2500,2850,1700,1250,250,1300,450,400,100,Sandringham,,False
FY19-20,19949,Hampton,-37.93797681,145.0014706,metro,501150,1650,1650,1650,950,650,150,850,300,250,50,Hampton,,False
FY19-20,19950,Brighton Beach,-37.92648432,144.9891536,metro,345550,1100,1050,1300,700,550,100,500,200,200,50,Brighton Beach,,False
FY19-20,19951,Middle Brighton,-37.91513441,144.9962991,metro,567700,1750,1800,1700,1250,950,100,700,400,450,100,Middle Brighton,,False
FY19-20,19952,North Brighton,-37.90488721,145.002605,metro,554050,1850,1850,1750,1050,700,100,900,400,350,100,North Brighton,,False
