fin_year,stop_id,stop_name,stop_lat,stop_long,network,pax_annual,pax_weekday,pax_norm_weekday,pax_sch_hol_weekday,pax_saturday,pax_sunday,pax_pre_am_peak,pax_am_peak,pax_interpeak,pax_pm_peak,pax_pm_late,stop_name_clean,stop_name_suffix,is_border_nsw
FY20-21,20027,Flemington Racecourse,-37.78720192,144.9075887,metro,25350,50,50,300,150,50,50,50,50,50,50,Flemington Racecourse,,False
FY20-21,20028,Showgrounds,-37.7835,144.915,metro,4150,50,50,50,50,50,50,50,50,50,50,Showgrounds,,False
FY20-21,20030,Broadmeadows,-37.68304926,144.9196132,metro,395750,1250,1350,900,800,600,100,300,400,450,100,Broadmeadows,,False
FY20-21,20031,Jacana,-37.69513079,144.9158505,metro,129500,400,400,300,300,250,50,150,100,50,50,Jacana,,False
FY20-21,20032,Glenroy,-37.70453633,144.9172204,metro,399100,1200,1300,850,900,700,150,400,400,300,50,Glenroy,,False
FY20-21,20033,Oak Park,-37.71794973,144.9215188,metro,218300,700,750,500,450,350,100,300,200,100,50,Oak Park,,False
FY20-21,20034,Pascoe Vale,-37.73075596,144.9281956,metro,239250,750,800,500,500,400,100,350,200,150,50,Pascoe Vale,,False
FY20-21,20035,Strathmore,-37.74359132,144.9273157,metro,130750,400,450,250,250,150,50,200,100,100,50,Strathmore,,False
FY20-21,20036,Glenbervie,-37.74720985,144.9209387,metro,109700,350,400,250,200,150,50,200,100,50,50,Glenbervie,,False
FY20-21,20037,Essendon,-37.7560117,144.9161975,metro,579150,1900,1950,1550,1050,750,200,750,400,550,100,Essendon,,False
FY20-21,20038,Moonee Ponds,-37.76570666,144.9191607,metro,362450,1100,1200,900,850,600,50,400,350,300,100,Moonee Ponds,,False
FY20-21,20039,Ascot Vale,-37.77530609,144.9218207,metro,202200,650,700,450,400,300,50,300,150,150,50,Ascot Vale,,False
FY20-21,20040,Newmarket,-37.78732767,144.9289785,metro,302600,950,950,950,600,400,50,350,250,250,50,Newmarket,,False
FY20-21,20041,Kensington,-37.79378022,144.9305244,metro,211900,650,700,600,450,300,50,250,200,150,50,Kensington,,False
FY20-21,20042,Box Hill,-37.81922165,145.1214289,metro,1192700,3750,3800,3600,2450,1900,200,950,1100,1300,250,Box Hill,,False
FY20-21,40220,Roxburgh Park,-37.63823121,144.9354037,metro,240050,750,850,550,450,300,100,300,200,150,50,Roxburgh Park,,False
FY20-21,40221,Craigieburn,-37.6018169,144.9433203,metro,560500,1750,1900,1250,1150,850,350,800,450,250,50,Craigieburn,,False
FY20-21,44817,Coolaroo,-37.66100253,144.9260556,metro,105150,350,350,200,200,150,50,150,100,50,50,Coolaroo,,False
FY20-21,45793,Lynbrook,-38.05734118,145.2492751,metro,174550,600,650,450,250,150,100,350,100,50,50,Lynbrook,,False
FY20-21,45794,Cardinia Road,-38.07129047,145.437791,metro,193250,650,650,600,300,200,150,250,150,50,50,Cardinia Road,,False
FY20-21,45795,South Morang,-37.6491588,145.0670324,metro,291000,900,950,850,600,450,100,300,200,250,50,South Morang,,False
FY20-21,46468,Williams Landing,-37.86986533,144.7474447,metro,411450,1400,1400,1450,600,400,200,700,300,150,50,Williams Landing,,False
FY20-21,52095,Southland,-37.958758,145.049124,metro,277000,750,750,850,800,600,50,100,250,300,50,Southland,,False
FY20-21,52159,Middle Gorge,-37.644062,145.09214,metro,103900,350,400,200,150,100,50,100,50,150,50,Middle Gorge,,False
FY20-21,52160,Hawkstowe,-37.622992,145.097396,metro,70900,250,250,200,150,100,50,100,50,50,50,Hawkstowe,,False
FY20-21,52161,Mernda,-37.602549,145.100883,metro,327900,1100,1150,900,600,400,200,550,200,150,50,Mernda,,False
FY20-21,19841,Flagstaff,-37.81198131,144.9556538,metro,1378000,5050,5200,4450,1200,800,100,350,900,3400,450,Flagstaff,,False
FY20-21,19842,Melbourne Central,-37.80993877,144.9625935,metro,4206700,13550,13350,14150,7700,5800,100,550,3150,7450,2050,Melbourne Central,,False
FY20-21,19843,Parliament,-37.81105406,144.9729109,metro,2213650,7900,8150,7050,2350,1550,50,300,1600,5250,950,Parliament,,False
FY20-21,19854,Flinders Street,-37.81830513,144.9669643,metro,8528000,25800,25500,27100,20050,15050,700,1800,5650,13100,4250,Flinders Street,,False
FY20-21,19908,Richmond,-37.82407446,144.9901643,metro,1292650,3450,3600,3050,3500,3050,100,450,650,1550,850,Richmond,,False
FY20-21,19973,North Melbourne,-37.80630984,144.9415102,metro,669700,1950,2000,1650,1950,1300,50,350,500,950,150,North Melbourne,,False
FY20-21,19979,Jolimont,-37.81652702,144.9840983,metro,358650,850,900,700,1050,1100,50,50,150,400,250,Jolimont,,False
FY20-21,22180,Southern Cross,-37.81793643,144.9514112,metro,4556450,14550,14550,14550,8700,6550,250,1100,3050,8550,1550,Southern Cross,,False
FY20-21,19866,Cheltenham,-37.96664989,145.0545579,metro,233800,750,750,700,500,350,50,300,150,200,50,Cheltenham,,False
FY21-22,19827,Stony Point,-38.37423454,145.2218375,metro,3600,50,50,50,50,50,50,50,50,50,50,Stony Point,,False
FY21-22,19828,Crib Point,-38.36612338,145.2040433,metro,6700,50,50,50,50,50,50,50,50,50,50,Crib Point,,False
FY21-22,19829,Morradoo,-38.35403334,145.1896025,metro,2300,50,50,50,50,50,50,50,50,50,50,Morradoo,,False
FY21-22,19830,Bittern,-38.33739032,145.1780265,metro,4600,50,50,50,50,50,50,50,50,50,50,Bittern,,False
FY21-22,19831,Hastings,-38.30565853,145.1859799,metro,8300,50,50,50,50,50,50,50,50,50,50,Hastings,,False
FY21-22,19832,Tyabb,-38.259815,145.1864007,metro,2350,50,50,50,50,50,50,50,50,50,50,Tyabb,,False
FY21-22,19833,Somerville,-38.22534196,145.1762449,metro,4500,50,50,50,50,50,50,50,50,50,50,Somerville,,False
FY21-22,19834,Baxter,-38.19404306,145.1605261,metro,1500,50,50,50,50,50,50,50,50,50,50,Baxter,,False
FY21-22,19835,Glen Iris,-37.85930842,145.0582249,metro,148050,450,500,350,300,200,50,200,100,150,50,Glen Iris,,False
FY21-22,19836,Leawarra,-38.152034,145.139534,metro,4150,50,50,50,50,50,50,50,50,50,50,Leawarra,,False
FY21-22,19837,Darling,-37.86895684,145.0629508,metro,135200,400,450,350,300,200,50,250,100,100,50,Darling,,False
FY21-22,19838,East Malvern,-37.87693002,145.069393,metro,176600,500,500,450,500,400,50,250,100,100,50,East Malvern,,False
FY21-22,19839,Holmesglen,-37.87440222,145.090662,metro,216150,650,700,550,550,400,50,250,150,200,50,Holmesglen,,False
FY21-22,19840,Jordanville,-37.87360339,145.1120902,metro,191000,600,650,500,400,300,50,300,150,100,50,Jordanville,,False
FY21-22,19844,Belgrave,-37.9091021,145.3552913,metro,152800,450,500,400,350,250,50,150,100,150,50,Belgrave,,False
FY21-22,19845,Tecoma,-37.90811849,145.3429946,metro,32600,100,100,100,50,50,50,50,50,50,50,Tecoma,,False
FY21-22,19846,Upwey,-37.90369097,145.3313334,metro,69600,200,250,150,150,100,50,100,50,50,50,Upwey,,False
FY21-22,19847,Alamein,-37.86832039,145.0796557,metro,54200,150,200,150,100,100,50,100,50,50,50,Alamein,,False
FY21-22,19848,Ashburton,-37.86196753,145.0813438,metro,109450,350,400,300,200,150,50,200,100,50,50,Ashburton,,False
FY21-22,19849,Burwood,-37.85156328,145.0805111,metro,116850,400,400,300,200,150,50,250,100,50,50,Burwood,,False
FY21-22,19850,Hartwell,-37.84398457,145.0755596,metro,75500,250,250,200,150,100,50,150,50,50,50,Hartwell,,False
FY21-22,19851,Willison,-37.83571565,145.0702976,metro,35750,100,150,100,50,50,50,50,50,50,50,Willison,,False
FY21-22,19852,Riversdale,-37.83150543,145.069646,metro,85550,300,350,150,100,50,50,150,50,150,50,Riversdale,,False
FY21-22,19853,Camberwell,-37.82656714,145.0586972,metro,789300,2400,2550,2050,1750,1500,100,700,600,1000,200,Camberwell,,False
FY21-22,19855,Frankston,-38.14299007,145.1261623,metro,692750,2050,2000,2200,1750,1300,300,550,600,450,100,Frankston,,False
FY21-22,19856,Kananook,-38.12174203,145.1352953,metro,93400,300,300,300,150,100,50,100,100,50,50,Kananook,,False
FY21-22,19857,Seaford,-38.10402104,145.1282304,metro,162550,500,500,500,350,250,100,200,100,50,50,Seaford,,False
FY21-22,19858,Carrum,-38.07489292,145.1224183,metro,182150,550,550,500,400,300,100,250,150,100,50,Carrum,,False
FY21-22,19859,Bonbeach,-38.06294478,145.1196804,metro,67050,200,200,200,150,100,50,100,50,50,50,Bonbeach,,False
FY21-22,19860,Chelsea,-38.05195538,145.1160413,metro,161650,500,500,500,400,250,50,200,150,100,50,Chelsea,,False
FY21-22,19861,Edithvale,-38.03805602,145.1085355,metro,101050,300,300,300,250,150,50,150,50,50,50,Edithvale,,False
FY21-22,19862,Aspendale,-38.02722019,145.1021496,metro,88300,300,300,250,200,150,50,150,50,50,50,Aspendale,,False
FY21-22,19863,Mordialloc,-38.00658295,145.0876594,metro,284900,900,900,750,650,450,100,400,200,200,50,Mordialloc,,False
FY21-22,19864,Parkdale,-37.99307882,145.0763268,metro,179650,550,600,500,400,250,50,200,150,150,50,Parkdale,,False
FY21-22,19865,Mentone,-37.9818654,145.0651659,metro,424350,1400,1550,950,750,500,50,350,350,700,50,Mentone,,False
FY21-22,19866,Cheltenham,-37.96664989,145.0545579,metro,319800,1000,1050,900,650,450,100,450,250,250,50,Cheltenham,,False
FY21-22,19867,Upper Ferntree Gully,-37.8926717,145.3075302,metro,103250,300,350,300,200,150,50,150,50,50,50,Upper Ferntree Gully,,False
FY21-22,19868,Ferntree Gully,-37.88169799,145.2952513,metro,188800,600,650,550,350,250,100,300,150,100,50,Ferntree Gully,,False
FY21-22,19869,Boronia,-37.8604518,145.2843851,metro,269450,850,900,750,500,350,100,400,200,150,50,Boronia,,False
FY21-22,19870,Bayswater,-37.84173004,145.2681364,metro,263750,850,900,750,500,350,100,350,200,200,50,Bayswater,,False
FY21-22,19871,Heathmont,-37.82832227,145.2445554,metro,105300,350,350,250,200,150,50,150,50,100,50,Heathmont,,False
FY21-22,19872,Highett,-37.948425,145.0418718,metro,212700,650,700,600,500,300,50,300,150,150,50,Highett,,False
FY21-22,19873,Glen Waverley,-37.87950407,145.1620575,metro,705400,2100,2150,1900,1800,1350,150,850,500,450,150,Glen Waverley,,False
FY21-22,19874,Syndal,-37.87622963,145.1497805,metro,333650,1050,1100,900,700,500,100,550,200,200,50,Syndal,,False
FY21-22,19875,Mount Waverley,-37.87525526,145.1280557,metro,338200,1050,1150,800,750,550,50,450,250,350,50,Mount Waverley,,False
FY21-22,19876,Lilydale,-37.75551777,145.3477102,metro,236150,700,700,700,550,400,100,250,200,150,50,Lilydale,,False
FY21-22,19877,Mooroolbark,-37.78474883,145.3124024,metro,213050,650,650,650,450,300,100,300,150,100,50,Mooroolbark,,False
FY21-22,19878,Croydon,-37.79543697,145.2805978,metro,327150,1050,1100,950,650,400,150,500,250,200,50,Croydon,,False
FY21-22,19879,Ringwood East,-37.81196804,145.2501909,metro,133050,450,450,350,200,150,50,200,100,100,50,Ringwood East,,False
FY21-22,19880,Pakenham,-38.08061397,145.4863791,metro,270350,850,900,700,550,400,200,250,250,200,50,Pakenham,,False
FY21-22,19881,Officer,-38.06614572,145.4109872,metro,64850,250,250,150,100,50,50,100,50,50,50,Officer,,False
FY21-22,19882,Beaconsfield,-38.05083135,145.3660737,metro,119350,400,450,250,150,100,100,200,100,100,50,Beaconsfield,,False
FY21-22,19883,Berwick,-38.04040829,145.3457261,metro,325600,1100,1200,750,500,350,200,400,300,300,50,Berwick,,False
FY21-22,19884,Narre Warren,-38.02780932,145.3039694,metro,318150,1050,1100,850,550,400,200,400,250,200,50,Narre Warren,,False
FY21-22,19885,Hallam,-38.01774038,145.2697768,metro,118900,400,400,350,150,150,50,150,100,100,50,Hallam,,False
FY21-22,19886,Cranbourne,-38.09953731,145.280599,metro,462300,1500,1600,1150,850,600,400,600,350,200,50,Cranbourne,,False
FY21-22,19887,Merinda Park,-38.07900048,145.2635114,metro,183900,600,650,400,300,200,150,300,150,50,50,Merinda Park,,False
FY21-22,19888,Dandenong,-37.98996792,145.2097254,metro,1234650,3950,4200,3050,2450,1850,300,950,1050,1600,250,Dandenong,,False
FY21-22,19889,Yarraman,-37.97825454,145.1916003,metro,140000,450,500,350,250,200,50,150,150,100,50,Yarraman,,False
FY21-22,19890,Noble Park,-37.96723193,145.1769357,metro,556700,1750,1900,1350,1100,850,250,600,500,500,100,Noble Park,,False
FY21-22,19891,Sandown Park,-37.95650457,145.1628259,metro,189600,600,650,450,350,300,50,300,150,100,50,Sandown Park,,False
FY21-22,19892,East Camberwell,-37.82589419,145.0681902,metro,104900,350,400,200,150,100,50,100,100,200,50,East Camberwell,,False
FY21-22,19893,Canterbury,-37.82448518,145.0812242,metro,145650,450,500,350,300,250,50,200,100,150,50,Canterbury,,False
FY21-22,19894,Chatham,-37.82429952,145.0886479,metro,95650,300,300,250,200,150,50,150,50,100,50,Chatham,,False
FY21-22,19895,Surrey Hills,-37.82414805,145.0987747,metro,241750,800,800,700,500,350,50,400,150,150,50,Surrey Hills,,False
FY21-22,19896,Mont Albert,-37.81942655,145.1055304,metro,98450,300,300,250,250,150,50,150,100,50,50,Mont Albert,,False
FY21-22,19897,Laburnum,-37.82078023,145.1407027,metro,167650,550,600,400,350,250,50,250,150,150,50,Laburnum,,False
FY21-22,19898,Blackburn,-37.82007075,145.1500135,metro,607450,1950,2050,1550,1200,900,150,850,450,550,100,Blackburn,,False
FY21-22,19899,Nunawading,-37.82060317,145.1748917,metro,421250,1350,1400,1150,850,600,100,550,300,350,50,Nunawading,,False
FY21-22,19900,Mitcham,-37.81800987,145.1919735,metro,511650,1650,1750,1400,1000,700,150,800,350,350,50,Mitcham,,False
FY21-22,19901,Heatherdale,-37.81889537,145.2127872,metro,224400,750,800,600,350,250,100,450,100,100,50,Heatherdale,,False
FY21-22,19902,Ringwood,-37.81588648,145.2289685,metro,1080200,3200,3250,3050,2900,2050,200,850,850,1100,200,Ringwood,,False
FY21-22,19903,Auburn,-37.82239831,145.0458437,metro,331450,1050,1100,850,750,550,50,400,250,300,50,Auburn,,False
FY21-22,19904,Glenferrie,-37.82146682,145.0364388,metro,1068450,3600,3950,2450,1650,1200,50,550,1150,1850,350,Glenferrie,,False
FY21-22,19905,Hawthorn,-37.82182601,145.0228987,metro,285900,950,1000,700,550,400,50,300,200,400,50,Hawthorn,,False
FY21-22,19906,Burnley,-37.82756022,145.0075551,metro,455750,1250,1200,1400,1700,1050,50,350,250,450,100,Burnley,,False
FY21-22,19907,East Richmond,-37.82639995,144.9970657,metro,251800,850,900,700,400,250,50,150,150,550,50,East Richmond,,False
FY21-22,19909,Heyington,-37.83467244,145.0226353,metro,120750,450,500,150,100,100,50,100,100,300,50,Heyington,,False
FY21-22,19910,Kooyong,-37.83992894,145.0335516,metro,132800,400,450,300,250,200,50,150,100,200,50,Kooyong,,False
FY21-22,19911,Tooronga,-37.84936553,145.0417337,metro,228050,750,750,600,450,350,50,300,150,250,50,Tooronga,,False
FY21-22,19912,Gardiner,-37.85327908,145.0516547,metro,198550,600,600,500,500,400,50,250,100,150,50,Gardiner,,False
FY21-22,19913,Springvale,-37.94950878,145.1534518,metro,750700,2300,2400,1850,1700,1300,200,600,700,750,150,Springvale,,False
FY21-22,19914,Westall,-37.93849121,145.1388326,metro,474400,1500,1500,1650,950,750,150,450,350,450,100,Westall,,False
FY21-22,19915,Clayton,-37.92468255,145.1205344,metro,853500,2700,2750,2500,1800,1300,200,700,700,900,200,Clayton,,False
FY21-22,19916,Huntingdale,-37.91101734,145.1023643,metro,666850,2350,2600,1550,750,500,100,550,600,1150,200,Huntingdale,,False
FY21-22,19917,Oakleigh,-37.90037214,145.0883079,metro,836350,2650,2750,2300,1750,1250,150,650,700,1050,200,Oakleigh,,False
FY21-22,19918,Hughesdale,-37.89488129,145.0776351,metro,276350,850,900,750,600,400,50,350,200,250,50,Hughesdale,,False
FY21-22,19919,Murrumbeena,-37.89019832,145.0673749,metro,351600,1150,1200,950,700,500,100,500,250,250,50,Murrumbeena,,False
FY21-22,19920,Carnegie,-37.88624148,145.0585751,metro,510850,1600,1650,1400,1150,800,100,650,400,400,100,Carnegie,,False
FY21-22,19921,Werribee,-37.89937805,144.661118,metro,532750,1700,1800,1500,1050,750,350,700,450,250,50,Werribee,,False
FY21-22,19922,Hoppers Crossing,-37.88327618,144.7009549,metro,436400,1450,1550,1200,750,550,250,550,350,350,50,Hoppers Crossing,,False
FY21-22,19923,Laverton,-37.86369404,144.7726167,metro,552750,1800,1900,1550,950,700,250,800,450,350,50,Laverton,,False
FY21-22,19924,Aircraft,-37.86660595,144.7608094,metro,73150,250,250,200,150,100,50,100,50,50,50,Aircraft,,False
FY21-22,19925,Westona,-37.86516348,144.8134936,metro,137950,450,500,300,250,150,50,150,100,200,50,Westona,,False
FY21-22,19926,Altona,-37.8671476,144.8296447,metro,144800,450,450,400,400,300,50,150,150,100,50,Altona,,False
FY21-22,19927,Seaholme,-37.86784231,144.8409577,metro,49550,150,150,150,150,100,50,50,50,50,50,Seaholme,,False
FY21-22,19928,Westgarth,-37.7806207,144.9992332,metro,124700,400,400,300,300,200,50,200,100,100,50,Westgarth,,False
FY21-22,19929,Dennis,-37.77918729,145.0082416,metro,140800,450,500,350,300,200,50,250,100,100,50,Dennis,,False
FY21-22,19930,Fairfield,-37.77917126,145.0169053,metro,262300,800,850,650,600,450,50,350,200,200,50,Fairfield,,False
FY21-22,19931,Alphington,-37.77839363,145.0312549,metro,129950,400,450,300,300,200,50,200,100,100,50,Alphington,,False
FY21-22,19932,Darebin,-37.77496341,145.038476,metro,60500,200,200,100,100,100,50,50,50,100,50,Darebin,,False
FY21-22,19933,Ivanhoe,-37.76889674,145.0454252,metro,319750,1050,1100,800,650,450,50,450,200,300,50,Ivanhoe,,False
FY21-22,19934,Eaglemont,-37.76358553,145.0539427,metro,58550,200,200,150,150,100,50,100,50,50,50,Eaglemont,,False
FY21-22,19935,Heidelberg,-37.75707293,145.0606855,metro,384400,1250,1350,950,700,500,50,300,300,650,100,Heidelberg,,False
FY21-22,19936,Rosanna,-37.7428786,145.0661403,metro,293550,950,1000,750,600,400,100,500,200,150,50,Rosanna,,False
FY21-22,19937,Moorabbin,-37.93435329,145.0367383,metro,322300,950,1000,800,850,650,50,250,250,350,50,Moorabbin,,False
FY21-22,19938,Patterson,-37.92514919,145.03547,metro,144800,450,500,350,300,200,50,200,100,150,50,Patterson,,False
FY21-22,19939,Bentleigh,-37.91742457,145.0369951,metro,344350,1050,1050,950,900,650,50,350,300,250,50,Bentleigh,,False
FY21-22,19940,Mckinnon,-37.91030903,145.038299,metro,196050,600,600,500,450,350,50,250,150,150,50,Mckinnon,,False
FY21-22,19941,Ormond,-37.90321167,145.0396134,metro,288800,900,950,750,700,450,50,350,250,250,50,Ormond,,False
FY21-22,19942,Glenhuntly,-37.88971946,145.0422229,metro,342700,1050,1050,900,850,600,50,350,300,250,50,Glenhuntly,,False
FY21-22,19943,Caulfield,-37.87745946,145.0425248,metro,1874050,5500,5700,4600,5400,3700,200,1350,1450,2050,650,Caulfield,,False
FY21-22,19944,Malvern,-37.8662533,145.0292939,metro,371100,1200,1250,950,750,550,50,300,300,500,100,Malvern,,False
FY21-22,19945,Armadale,-37.85645238,145.0193255,metro,244650,800,850,600,500,350,50,250,200,300,50,Armadale,,False
FY21-22,19946,Toorak,-37.85077381,145.0139086,metro,224850,750,800,500,450,300,50,250,200,300,50,Toorak,,False
FY21-22,19947,Hawksburn,-37.84459087,145.0021421,metro,231600,750,750,600,550,350,50,300,200,200,50,Hawksburn,,False
FY21-22,19948,Sandringham,-37.95033018,145.0045614,metro,423250,1200,1250,1150,1200,900,100,500,300,300,50,Sandringham,,False
FY21-22,19949,Hampton,-37.93797681,145.0014706,metro,269050,800,850,750,700,500,50,350,200,200,50,Hampton,,False
FY21-22,19950,Brighton Beach,-37.92648432,144.9891536,metro,186400,500,500,500,550,450,50,200,150,100,50,Brighton Beach,,False
FY21-22,19951,Middle Brighton,-37.91513441,144.9962991,metro,292700,900,900,800,750,550,50,250,250,300,50,Middle Brighton,,False
FY21-22,19952,North Brighton,-37.90488721,145.002605,metro,291000,900,900,800,700,500,50,350,250,250,50,North Brighton,,False
FY21-22,19953,Gardenvale,-37.89669508,145.0041684,metro,217150,650,700,550,500,350,50,250,150,200,50,Gardenvale,,False
FY21-22,19954,Elsternwick,-37.88475311,145.0008979,metro,438400,1350,1400,1250,1050,750,50,550,300,350,100,Elsternwick,,False
FY21-22,19955,Ripponlea,-37.87590643,144.9952366,metro,276600,850,900,750,600,450,50,400,200,250,50,Ripponlea,,False
FY21-22,19956,Balaclava,-37.86948773,144.9935121,metro,468900,1450,1450,1350,1100,800,100,550,350,400,100,Balaclava,,False
FY21-22,19957,Windsor,-37.85605308,144.9920352,metro,375950,1150,1200,1000,900,550,50,350,250,450,150,Windsor,,False
FY21-22,19958,Prahran,-37.84951848,144.9898599,metro,571600,1800,1900,1600,1300,800,50,400,400,850,150,Prahran,,False
FY21-22,19959,South Yarra,-37.83844935,144.9923422,metro,1997050,6350,6700,5050,4300,3000,200,1400,1600,2850,600,South Yarra,,False
FY21-22,19960,Upfield,-37.66607779,144.9467399,metro,185850,600,650,500,350,250,50,150,150,200,50,Upfield,,False
FY21-22,19961,Gowrie,-37.700678,144.9588743,metro,153350,500,500,450,350,250,50,200,100,100,50,Gowrie,,False
FY21-22,19962,Fawkner,-37.71462129,144.960545,metro,86400,250,300,250,200,150,50,100,50,50,50,Fawkner,,False
FY21-22,19963,Merlynston,-37.72093389,144.9613135,metro,154400,500,500,450,350,250,50,250,100,100,50,Merlynston,,False
FY21-22,19964,Batman,-37.73352285,144.9628406,metro,142200,450,450,400,300,250,50,150,100,100,50,Batman,,False
FY21-22,19965,Coburg,-37.74234502,144.9633363,metro,272750,850,850,750,700,450,50,300,250,200,50,Coburg,,False
FY21-22,19966,Moreland,-37.75448484,144.961823,metro,266400,800,850,650,700,450,50,250,200,250,50,Moreland,,False
FY21-22,19967,Anstey,-37.76124203,144.960684,metro,187400,550,600,500,500,300,50,250,150,150,50,Anstey,,False
FY21-22,19968,Brunswick,-37.76772055,144.9595865,metro,167400,500,500,450,450,300,50,150,100,200,50,Brunswick,,True
FY21-22,19969,Jewell,-37.77498702,144.9587169,metro,178100,550,550,450,450,300,50,150,150,200,50,Jewell,,False
FY21-22,19970,Royal Park,-37.78119293,144.9523013,metro,156050,450,450,550,350,300,50,50,150,200,50,Royal Park,,False
FY21-22,19971,Flemington Bridge,-37.78813995,144.9393233,metro,123200,400,400,350,300,200,50,100,100,100,50,Flemington Bridge,,False
FY21-22,19972,Macaulay,-37.79426673,144.9361663,metro,126350,400,400,350,250,200,50,50,100,200,50,Macaulay,,False
FY21-22,19974,Clifton Hill,-37.78865745,144.9954167,metro,454200,1300,1350,1100,1350,950,50,500,300,400,100,Clifton Hill,,False
FY21-22,19975,Victoria Park,-37.79915782,144.9944514,metro,317800,950,1000,800,800,550,50,250,200,450,100,Victoria Park,,False
FY21-22,19976,Collingwood,-37.80452593,144.9937497,metro,248400,800,850,650,500,300,50,150,150,450,50,Collingwood,,False
FY21-22,19977,North Richmond,-37.81039836,144.9925003,metro,351250,1100,1150,950,800,550,50,200,250,550,100,North Richmond,,False
FY21-22,19978,West Richmond,-37.81494896,144.9914228,metro,271450,900,950,750,500,300,50,150,200,500,100,West Richmond,,False
FY21-22,19983,Macleod,-37.7260123,145.0691433,metro,239150,800,850,550,500,350,100,350,200,200,50,Macleod,,False
FY21-22,19984,Watsonia,-37.71095798,145.0837934,metro,303800,950,1050,750,650,450,150,500,200,150,50,Watsonia,,False
FY21-22,19985,Greensborough,-37.70395408,145.1082474,metro,266050,850,850,700,600,400,100,350,200,200,50,Greensborough,,False
FY21-22,19986,Montmorency,-37.71529624,145.1215157,metro,117950,400,400,300,250,150,50,200,100,50,50,Montmorency,,False
FY21-22,19987,Eltham,-37.71354967,145.147822,metro,250100,800,850,600,550,350,100,350,150,200,50,Eltham,,False
FY21-22,19988,Diamond Creek,-37.67329744,145.1585062,metro,83600,250,300,200,200,150,50,150,50,50,50,Diamond Creek,,False
FY21-22,19989,Wattle Glen,-37.66396792,145.1816145,metro,17550,50,50,50,50,50,50,50,50,50,50,Wattle Glen,,False
FY21-22,19990,Hurstbridge,-37.63939817,145.1920169,metro,57050,200,200,150,150,100,50,100,50,50,50,Hurstbridge,,False
FY21-22,19991,Williamstown,-37.86775292,144.9053233,metro,60150,150,150,200,200,100,50,50,50,50,50,Williamstown,,False
FY21-22,19992,Williamstown Beach,-37.86398189,144.8944837,metro,69250,200,200,200,150,100,50,50,50,50,50,Williamstown Beach,,False
FY21-22,19993,North Williamstown,-37.85733348,144.8890695,metro,98800,300,300,300,200,150,50,150,100,100,50,North Williamstown,,False
FY21-22,19994,Newport,-37.84271757,144.8835999,metro,721500,2300,2400,1850,1550,1050,150,1100,500,550,150,Newport,,False
FY21-22,19995,Spotswood,-37.83063888,144.8859335,metro,170900,500,500,450,500,350,50,200,100,150,50,Spotswood,,False
FY21-22,19996,Yarraville,-37.81585044,144.8899337,metro,442450,1350,1400,1200,1000,750,100,650,300,300,100,Yarraville,,False
FY21-22,19997,Seddon,-37.80900514,144.8956716,metro,203150,650,650,550,450,300,50,300,150,150,50,Seddon,,False
FY21-22,15351,Sunbury,-37.57909097,144.7273188,metro,362700,1150,1150,1000,750,550,250,400,250,200,50,Sunbury,,False
FY21-22,15353,Diggers Rest,-37.62701651,144.7199224,metro,65200,200,250,150,100,50,50,100,50,50,50,Diggers Rest,,False
FY21-22,20000,Watergardens,-37.70112872,144.7741805,metro,587400,1900,2000,1550,1100,850,300,850,450,300,50,Watergardens,,False
FY21-22,20001,Keilor Plains,-37.72927934,144.7937381,metro,277900,900,950,750,500,350,150,450,200,100,50,Keilor Plains,,False
FY21-22,20002,St Albans,-37.74486131,144.8000505,metro,610250,1900,1950,1700,1250,1000,250,650,600,400,50,St Albans,,False
FY21-22,20003,Ginifer,-37.75751083,144.8095734,metro,345200,1100,1150,950,650,500,100,450,300,250,50,Ginifer,,False
FY21-22,20004,Albion,-37.77765281,144.8247036,metro,203100,650,700,550,350,250,100,300,150,100,50,Albion,,False
FY21-22,20005,Epping,-37.65238715,145.0301217,metro,434500,1400,1500,1100,800,600,200,450,350,450,50,Epping,,False
FY21-22,20006,Lalor,-37.66585075,145.0171932,metro,241700,800,800,700,450,300,150,350,200,100,50,Lalor,,False
FY21-22,20007,Thomastown,-37.68033809,145.0142789,metro,391050,1200,1250,1150,850,600,150,500,300,250,50,Thomastown,,False
FY21-22,20008,Keon Park,-37.69487012,145.0118838,metro,174750,600,600,500,300,200,50,150,150,200,50,Keon Park,,False
FY21-22,20009,Ruthven,-37.70789754,145.0095166,metro,157350,500,500,450,350,250,100,250,100,50,50,Ruthven,,False
FY21-22,20010,Reservoir,-37.71688492,145.0069958,metro,473200,1500,1550,1300,1050,700,150,500,400,450,100,Reservoir,,False
FY21-22,20011,Regent,-37.72840277,145.0027726,metro,176100,550,600,500,350,250,50,300,100,100,50,Regent,,False
FY21-22,20012,Preston,-37.73867424,145.000522,metro,238850,750,750,650,600,400,50,200,200,250,50,Preston,,False
FY21-22,20013,Bell,-37.74556212,145.000155,metro,132450,450,450,400,250,200,50,150,100,150,50,Bell,,False
FY21-22,20014,Thornbury,-37.75505179,144.9985715,metro,205700,650,650,550,450,300,50,300,150,150,50,Thornbury,,False
FY21-22,20015,Croxton,-37.764101,144.9970562,metro,121300,350,400,350,300,200,50,200,100,50,50,Croxton,,False
