Fin_year,Stop_ID,Stop_name,Stop_lat,Stop_long,Pax_annual
FY24-25,19980,Melton,-37.703289,144.572525,806050
FY24-25,19981,Rockbank,-37.729258,144.65063,399800
FY24-25,19982,Deer Park,-37.77776,144.772307,636300
FY24-25,20020,Ardeer,-37.783063,144.802193,88250
FY24-25,20287,Albury,-36.084262,146.924515,84300
FY24-25,20288,Ararat,-37.282205,142.936914,60700
FY24-25,20289,Avenel,-36.893648,145.229515,1950
FY24-25,20290,Bacchus Marsh,-37.687582,144.436788,346950
FY24-25,20291,Bairnsdale,-37.82872,147.627614,67800
FY24-25,20292,Ballan,-37.6043,144.225443,93700
FY24-25,20293,Ballarat,-37.55879,143.859452,684050
FY24-25,20294,Beaufort,-37.427875,143.382234,9700
FY24-25,20295,Benalla,-36.54455,145.983915,28900
FY24-25,20296,Bendigo,-36.765673,144.283012,489350
FY24-25,20297,Birregurra,-38.328808,143.783625,3250
FY24-25,20298,Broadford,-37.207202,145.043009,47750
FY24-25,20299,Bunyip,-38.09911,145.720762,19650
FY24-25,20300,Camperdown,-38.228901,143.150928,16050
FY24-25,20301,Castlemaine,-37.062836,144.213801,225300
FY24-25,20302,Chiltern,-36.155637,146.611375,5700
FY24-25,20303,Clarkefield,-37.483497,144.745368,40100
FY24-25,20304,Colac,-38.343378,143.586653,31500
FY24-25,20305,Corio,-38.072835,144.37977,31600
FY24-25,20306,Dingee,-36.369233,144.23112,550
FY24-25,20307,Donnybrook,-37.542592,144.969865,191400
FY24-25,20308,Drouin,-38.136453,145.855943,111250
FY24-25,20309,Eaglehawk,-36.718528,144.248382,3250
FY24-25,20310,Echuca,-36.130982,144.753459,35200
FY24-25,20311,Elmore,-36.49502,144.607758,2300
FY24-25,20312,Euroa,-36.749146,145.567864,7350
FY24-25,20313,Garfield,-38.09103,145.67422,24850
FY24-25,20314,Geelong,-38.144241,144.354992,974250
FY24-25,20315,Gisborne,-37.458825,144.598718,134450
FY24-25,20316,Heathcote Junction,-37.367732,145.026305,6400
FY24-25,20317,Kangaroo Flat,-36.794838,144.248993,86900
FY24-25,20318,Kerang,-35.733122,143.924425,7350
FY24-25,20319,Kilmore East,-37.293208,144.983565,66350
FY24-25,20320,Kyneton,-37.258277,144.450602,131650
FY24-25,20321,Lara,-38.022428,144.414402,333400
FY24-25,20323,Little River,-37.962928,144.498485,18550
FY24-25,20324,Longwarry,-38.110992,145.76686,18950
FY24-25,20325,Macedon,-37.423577,144.561397,41400
FY24-25,20326,Malmsbury,-37.189744,144.375325,19650
FY24-25,20327,Marshall,-38.19855,144.355055,186750
FY24-25,20328,Moe,-38.176713,146.262698,123900
FY24-25,20329,Mooroopna,-36.399128,145.358215,9600
FY24-25,20330,Morwell,-38.236723,146.396752,112950
FY24-25,20331,Murchison East,-36.613148,145.240636,11900
FY24-25,20332,Nagambie,-36.785464,145.160357,6650
FY24-25,20333,Nar Nar Goon,-38.08159,145.57167,9500
FY24-25,20334,North Geelong,-38.122836,144.352277,336000
FY24-25,20335,North Shore,-38.098373,144.365323,96300
FY24-25,20336,Pyramid,-36.053113,144.113133,3000
FY24-25,20337,Riddells Creek,-37.465127,144.679828,58650
FY24-25,20338,Rochester,-36.36236,144.698681,5700
FY24-25,20339,Rosedale,-38.156404,146.786966,3400
FY24-25,20341,Sale,-38.103103,147.054805,35350
FY24-25,20342,Seymour,-37.024725,145.137733,166250
FY24-25,20343,Shepparton,-36.383791,145.406498,116000
FY24-25,20344,South Geelong,-38.15866,144.358987,356100
FY24-25,20345,Springhurst,-36.185893,146.470417,3000
FY24-25,20346,Stratford,-37.967047,147.081469,5700
FY24-25,20347,Swan Hill,-35.341114,143.562343,50950
FY24-25,20348,Tallarook,-37.092332,145.103002,7400
FY24-25,20349,Terang,-38.236212,142.911472,9800
FY24-25,20350,Trafalgar,-38.207239,146.15477,51150
FY24-25,20351,Traralgon,-38.198889,146.537884,184250
FY24-25,20352,Tynong,-38.084994,145.628231,7300
FY24-25,20353,Violet Town,-36.638816,145.715923,3000
FY24-25,20354,Wallan,-37.416534,145.005354,145550
FY24-25,20355,Wandong,-37.354676,145.026414,19000
FY24-25,20356,Wangaratta,-36.355101,146.317038,50500
FY24-25,20357,Warragul,-38.165227,145.93309,172500
FY24-25,20358,Warrnambool,-38.385014,142.475545,112500
FY24-25,20359,Winchelsea,-38.240135,143.984134,5400
FY24-25,20360,Wodonga,-36.105827,146.871266,60400
FY24-25,20361,Woodend,-37.358803,144.525893,143700
FY24-25,20362,Yarragon,-38.203155,146.063065,16600
FY24-25,22257,Sherwood Park,-38.386392,142.538871,4450
FY24-25,43469,Wendouree,-37.539713,143.820062,198950
FY24-25,44951,Creswick,-37.424605,143.888124,2500
FY24-25,44952,Clunes,-37.303141,143.781577,2050
FY24-25,44953,Maryborough,-37.050908,143.742402,10650
FY24-25,47482,Talbot,-37.172899,143.70564,900
FY24-25,47641,Waurn Ponds,-38.21581,144.30682,260250
FY24-25,47642,Epsom,-36.706343,144.321036,7150
FY24-25,47647,Wyndham Vale,-37.871783,144.608477,1128400
FY24-25,47648,Tarneit,-37.832169,144.694716,1717700
FY24-25,48804,Cobblebank,-37.712542,144.604103,325300
FY24-25,49295,Raywood,-36.531477,144.200922,1050
FY24-25,49296,Huntly,-36.664864,144.369789,1500
FY24-25,51809,Goornong,-36.615183,144.503474,1900
FY24-25,52011,Caroline Springs,-37.767153,144.738023,290700
FY24-25,64408,Southern Cross Railway Station (Melbourne City),-37.818245,144.951691,6506100
