Regional Train,2026-01-01,109.4
Regional Bus,2026-01-01,107.0
Metropolitan Bus,2026-01-01,100.7
Regional Coach,2026-01-01,95.1
Metropolitan Train,2026-01-01,84.9
Metropolitan Tram,2025-12-01,78.4
