West Richmond,metro,436500,407750,93.4
Chatham,metro,196950,183300,93.1
Heathmont,metro,214600,199600,93.0
Kananook,metro,186150,173050,93.0
Laburnum,metro,340950,316900,92.9
Bell,metro,444100,412250,92.8
Upfield,metro,284700,264250,92.8
Glen Waverley,metro,1305600,1209700,92.7
Prahran,metro,951300,879500,92.5
East Camberwell,metro,201450,185950,92.3
Lilydale,metro,556700,512300,92.0
Flinders Street,metro,21503500,19633300,91.3
Willison,metro,80300,73100,91.0
North Brighton,metro,554050,502000,90.6
Gardenvale,metro,421550,380050,90.2
Middle Brighton,metro,567700,512250,90.2
Glenbervie,metro,301950,272200,90.1
Sunshine,metro,1753250,1577600,90.0
Gowrie,metro,258500,232350,89.9
Somerville,metro,8950,8050,89.9
Ferntree Gully,metro,375900,337700,89.8
Parkdale,metro,299300,268050,89.6
Preston,metro,648650,581250,89.6
Diggers Rest,metro,185050,165600,89.5
Tottenham,metro,442450,394350,89.1
Batman,metro,257000,228750,89.0
Riversdale,metro,161750,144000,89.0
Westgarth,metro,227000,201950,89.0
Narre Warren,metro,587550,522200,88.9
Newmarket,metro,675600,600650,88.9
Fawkner,metro,165300,146600,88.7
Flagstaff,metro,3883350,3445200,88.7
Kooyong,metro,263150,233000,88.5
Ripponlea,metro,531200,465900,87.7
Sandringham,metro,813600,710850,87.4
Holmesglen,metro,439050,383100,87.3
Oak Park,metro,479050,418000,87.3
Croxton,metro,281250,244250,86.8
Ruthven,metro,334100,289350,86.6
Fairfield,metro,509000,437700,86.0
Boronia,metro,539350,462850,85.8
Hoppers Crossing,metro,1079900,925850,85.7
Upper Ferntree Gully,metro,210850,180450,85.6
Beaconsfield,metro,234200,199950,85.4
Dennis,metro,305550,260800,85.4
Nunawading,metro,888900,758050,85.3
Alamein,metro,113450,96200,84.8
Ashburton,metro,239200,201950,84.4
Camberwell,metro,1496350,1260400,84.2
Hartwell,metro,165200,138050,83.6
East Malvern,metro,400500,333800,83.3
Parliament,metro,7646300,6344650,83.0
North Richmond,metro,738350,608300,82.4
Burwood,metro,268750,221250,82.3
Windsor,metro,714100,586800,82.2
Balaclava,metro,923000,752350,81.5
Leawarra,metro,6750,5500,81.5
Upwey,metro,120700,97850,81.1
Showgrounds,metro,143150,114900,80.3
Tecoma,metro,59400,47250,79.5
Rosanna,metro,552500,432900,78.4
Hastings,metro,14000,10850,77.5
Moorabbin,metro,671250,520000,77.5
Hurstbridge,metro,98200,75700,77.1
Albion,metro,537450,413900,77.0
Wattle Glen,metro,35850,27200,75.9
Diamond Creek,metro,151700,114700,75.6
Eltham,metro,461400,344100,74.6
Crib Point,metro,10800,7900,73.1
Ringwood East,metro,369900,268800,72.7
Glenroy,metro,1037400,740900,71.4
Montmorency,metro,254100,175700,69.1
Thornbury,metro,544200,376150,69.1
Macleod,metro,469500,314850,67.1
Greensborough,metro,588050,378250,64.3
Bonbeach,metro,220450,141600,64.2
Croydon,metro,726050,447350,61.6
Watsonia,metro,577000,315600,54.7
Mont Albert,metro,200300,92300,46.1
Surrey Hills,metro,568250,175650,30.9
