Metropolitan Bus,2018-01-01,7568547,7568547
Metropolitan Bus,2018-02-01,10487311,9027929
Metropolitan Bus,2018-03-01,11528895,9861584
Metropolitan Bus,2018-04-01,9592750,10536318
Metropolitan Bus,2018-05-01,11263486,10795043
Metropolitan Bus,2018-06-01,9526795,10127677
Metropolitan Bus,2018-07-01,9657327,10149202
Metropolitan Bus,2018-08-01,11756706,10313609
Metropolitan Bus,2018-09-01,9878596,10430876
Metropolitan Bus,2018-10-01,11233979,10956427
Metropolitan Bus,2018-11-01,10367915,10493496
Metropolitan Bus,2018-12-01,7941245,9847713
Metropolitan Bus,2019-01-01,7845144,8718101
Metropolitan Bus,2019-02-01,10105546,8630645
Metropolitan Bus,2019-03-01,11775566,9908752
Metropolitan Bus,2019-04-01,9667587,10516233
Metropolitan Bus,2019-05-01,12082141,11175098
Metropolitan Bus,2019-06-01,9515676,10421801
Metropolitan Bus,2019-07-01,10417277,10671698
Metropolitan Bus,2019-08-01,11485155,10472702
Metropolitan Bus,2019-09-01,10238956,10713796
Metropolitan Bus,2019-10-01,11294945,11006352
Metropolitan Bus,2019-11-01,10405336,10646412
Metropolitan Bus,2019-12-01,8858522,10186267
Metropolitan Bus,2020-01-01,8369145,9211001
Metropolitan Bus,2020-02-01,10407862,9211843
Metropolitan Bus,2020-03-01,7600641,8792549
Metropolitan Bus,2020-04-01,1507175,6505226
Metropolitan Bus,2020-05-01,2539068,3882294
Metropolitan Bus,2020-06-01,4752862,2933035
Metropolitan Bus,2020-07-01,3170618,3487516
Metropolitan Bus,2020-08-01,1793958,3239146
Metropolitan Bus,2020-09-01,2038847,2334474
Metropolitan Bus,2020-10-01,3769166,2533990
Metropolitan Bus,2020-11-01,5795635,3867882
Metropolitan Bus,2020-12-01,5885341,5150047
Metropolitan Bus,2021-01-01,4805284,5495420
Metropolitan Bus,2021-02-01,5617752,5436125
Metropolitan Bus,2021-03-01,7645169,6022735
Metropolitan Bus,2021-04-01,6628991,6630637
Metropolitan Bus,2021-05-01,6962665,7078941
Metropolitan Bus,2021-06-01,4452322,6014659
Metropolitan Bus,2021-07-01,4722392,5379126
Metropolitan Bus,2021-08-01,3102190,4092301
Metropolitan Bus,2021-09-01,2405774,3410118
Metropolitan Bus,2021-10-01,3435761,2981241
Metropolitan Bus,2021-11-01,6453897,4098477
Metropolitan Bus,2021-12-01,5912880,5267512
Metropolitan Bus,2022-01-01,4124071,5496949
Metropolitan Bus,2022-02-01,6205045,5413998
Metropolitan Bus,2022-03-01,8476974,6268696
Metropolitan Bus,2022-04-01,6870377,7184132
Metropolitan Bus,2022-05-01,7779324,7708891
Metropolitan Bus,2022-06-01,6943793,7197831
Metropolitan Bus,2022-07-01,7332966,7352027
Metropolitan Bus,2022-08-01,8338393,7538384
Metropolitan Bus,2022-09-01,7472155,7714504
Metropolitan Bus,2022-10-01,8156542,7989030
Metropolitan Bus,2022-11-01,8312554,7980417
Metropolitan Bus,2022-12-01,7434002,7967699
Metropolitan Bus,2023-01-01,7090984,7612513
Metropolitan Bus,2023-02-01,8608284,7711090
Metropolitan Bus,2023-03-01,10301621,8666963
Metropolitan Bus,2023-04-01,8124564,9011489
Metropolitan Bus,2023-05-01,9848630,9424938
Metropolitan Bus,2023-06-01,8635816,8869670
Metropolitan Bus,2023-07-01,9219892,9234779
Metropolitan Bus,2023-08-01,10304037,9386581
Metropolitan Bus,2023-09-01,9260131,9594686
Metropolitan Bus,2023-10-01,10083249,9882472
Metropolitan Bus,2023-11-01,9872183,9738521
Metropolitan Bus,2023-12-01,8548817,9501416
Metropolitan Bus,2024-01-01,8335210,8918736
Metropolitan Bus,2024-02-01,10441479,9108502
Metropolitan Bus,2024-03-01,10596736,9791141
Metropolitan Bus,2024-04-01,9271098,10103104
Metropolitan Bus,2024-05-01,10256661,10041498
Metropolitan Bus,2024-06-01,8706404,9411387
Metropolitan Bus,2024-07-01,9829583,9597549
Metropolitan Bus,2024-08-01,10737761,9757916
Metropolitan Bus,2024-09-01,9188549,9918631
