Metropolitan Bus,2020-04-01,1507175
Metropolitan Train,2020-08-01,1887499
Metropolitan Tram,2020-08-01,1224017
Regional Bus,2020-04-01,227342
Regional Coach,2020-04-01,17602
Regional Train,2020-08-01,222256
