Metropolitan Bus,2018-01-01,7568547,NULL,NULL
Metropolitan Bus,2018-02-01,10487311,NULL,NULL
Metropolitan Bus,2018-03-01,11528895,NULL,NULL
Metropolitan Bus,2018-04-01,9592750,NULL,NULL
Metropolitan Bus,2018-05-01,11263486,NULL,NULL
Metropolitan Bus,2018-06-01,9526795,NULL,NULL
Metropolitan Bus,2018-07-01,9657327,NULL,NULL
Metropolitan Bus,2018-08-01,11756706,NULL,NULL
Metropolitan Bus,2018-09-01,9878596,NULL,NULL
Metropolitan Bus,2018-10-01,11233979,NULL,NULL
Metropolitan Bus,2018-11-01,10367915,NULL,NULL
Metropolitan Bus,2018-12-01,7941245,NULL,NULL
Metropolitan Bus,2019-01-01,7845144,7568547,3.7
Metropolitan Bus,2019-02-01,10105546,10487311,-3.6
Metropolitan Bus,2019-03-01,11775566,11528895,2.1
Metropolitan Bus,2019-04-01,9667587,9592750,0.8
Metropolitan Bus,2019-05-01,12082141,11263486,7.3
Metropolitan Bus,2019-06-01,9515676,9526795,-0.1
Metropolitan Bus,2019-07-01,10417277,9657327,7.9
Metropolitan Bus,2019-08-01,11485155,11756706,-2.3
Metropolitan Bus,2019-09-01,10238956,9878596,3.6
Metropolitan Bus,2019-10-01,11294945,11233979,0.5
Metropolitan Bus,2019-11-01,10405336,10367915,0.4
Metropolitan Bus,2019-12-01,8858522,7941245,11.6
Metropolitan Bus,2020-01-01,8369145,7845144,6.7
Metropolitan Bus,2020-02-01,10407862,10105546,3.0
Metropolitan Bus,2020-03-01,7600641,11775566,-35.5
Metropolitan Bus,2020-04-01,1507175,9667587,-84.4
Metropolitan Bus,2020-05-01,2539068,12082141,-79.0
Metropolitan Bus,2020-06-01,4752862,9515676,-50.1
Metropolitan Bus,2020-07-01,3170618,10417277,-69.6
Metropolitan Bus,2020-08-01,1793958,11485155,-84.4
Metropolitan Bus,2020-09-01,2038847,10238956,-80.1
Metropolitan Bus,2020-10-01,3769166,11294945,-66.6
Metropolitan Bus,2020-11-01,5795635,10405336,-44.3
Metropolitan Bus,2020-12-01,5885341,8858522,-33.6
Metropolitan Bus,2021-01-01,4805284,8369145,-42.6
Metropolitan Bus,2021-02-01,5617752,10407862,-46.0
Metropolitan Bus,2021-03-01,7645169,7600641,0.6
Metropolitan Bus,2021-04-01,6628991,1507175,339.8
Metropolitan Bus,2021-05-01,6962665,2539068,174.2
Metropolitan Bus,2021-06-01,4452322,4752862,-6.3
Metropolitan Bus,2021-07-01,4722392,3170618,48.9
Metropolitan Bus,2021-08-01,3102190,1793958,72.9
Metropolitan Bus,2021-09-01,2405774,2038847,18.0
Metropolitan Bus,2021-10-01,3435761,3769166,-8.8
Metropolitan Bus,2021-11-01,6453897,5795635,11.4
Metropolitan Bus,2021-12-01,5912880,5885341,0.5
Metropolitan Bus,2022-01-01,4124071,4805284,-14.2
Metropolitan Bus,2022-02-01,6205045,5617752,10.5
Metropolitan Bus,2022-03-01,8476974,7645169,10.9
Metropolitan Bus,2022-04-01,6870377,6628991,3.6
Metropolitan Bus,2022-05-01,7779324,6962665,11.7
Metropolitan Bus,2022-06-01,6943793,4452322,56.0
Metropolitan Bus,2022-07-01,7332966,4722392,55.3
Metropolitan Bus,2022-08-01,8338393,3102190,168.8
